"Centroid[X] (m)_rounded","<T>/T","<W>","<U'U'>","<V'V'>","<W'W'>","<T'T'>","<U'T'>","<U'W'>","<W'T'>","x/kolmogorov","y/kolmogorov","z/kolmogorov","Centroid[X] (m)_rounded_11","<T>/T_11","<W>_11","<U'U'>_11","<V'V'>_11","<W'W'>_11","<T'T'>_11","<U'T'>_11","<U'W'>_11","<W'T'>_11","x/kolmogorov_11","y/kolmogorov_11","z/kolmogorov_11","Centroid[X] (m)_rounded_12","<T>/T_12","<W>_12","<U'U'>_12","<V'V'>_12","<W'W'>_12","<T'T'>_12","<U'T'>_12","<U'W'>_12","<W'T'>_12","x/kolmogorov_12","y/kolmogorov_12","z/kolmogorov_12","Centroid[X] (m)_rounded_13","<T>/T_13","<W>_13","<U'U'>_13","<V'V'>_13","<W'W'>_13","<T'T'>_13","<U'T'>_13","<U'W'>_13","<W'T'>_13","x/kolmogorov_13","y/kolmogorov_13","z/kolmogorov_13"
0.0,0.4999999289790546,0.0,0.0,0.0,0.0,1.9307911698595585e-15,0.0,0.0,0.0,0.0442426319469358,2.7994578554107283,2.7994578554107283,0.0,0.5000003032756485,0.0,0.0,0.0,0.0,3.647600334908415e-14,0.0,0.0,0.0,1.2249550923183017,4.721383484891809,4.721383484891809,0.0,0.5000002830909678,0.0,0.0,0.0,0.0,2.9849693762749734e-14,0.0,0.0,0.0,1.2179260687291795,4.693796767786102,4.693796767786102,0.0,0.4999996668195763,0.0,0.0,0.0,0.0,8.450813633077896e-14,0.0,0.0,0.0,1.2181862609815657,4.694829251696425,4.694829251696425
0.0002,0.4988244767574602,2.338701876459394,1.1914348159021032e-05,1.1496954782134403,1.4106716298641528,4.962727988449377e-07,9.998645898333948e-07,-6.127588383291674e-05,3.252675930448957e-05,0.0442381926598457,2.7991769589867648,2.7991769589867648,0.005,0.47296878772499,52.61721911403416,2.822938081010599,613.9028723057487,733.1920817898953,0.0002862134479424,0.0123436471083829,-0.756598314189605,0.0268826716707917,1.224601155084917,4.720019293323716,4.720019293323716,0.005,0.4729321310747905,52.322624483155,2.865567520575319,595.0047017471619,715.1136238638561,0.0002835269853313,0.0123152345358778,-0.9962491869172978,0.0256024144127958,1.2176604819000365,4.692773215838174,4.692773215838174,0.005,0.4733189556093197,51.72229589853279,4.057000465515221,576.0794554009422,717.7304703874396,0.0002498529435588,0.0100454422497202,-1.273799176066461,0.0246315220937401,1.2179300051740105,4.6938416545615045,4.6938416545615045
0.0007,0.4963278012484381,7.250709800410112,0.0003089291147198,11.05791807506171,13.577116777065816,4.843015642145622e-06,1.6996945234075078e-05,-0.0006284191876801,0.0003411189720047,0.0494639068978329,2.784836828618212,2.784836828618212,0.0152,0.4181973660062408,134.2444231414732,54.04725434850349,4030.1683140658847,5018.549395124365,0.0025281682654198,0.1914336726019277,4.948956535338474,0.5145969069384337,1.1585729603162969,4.260127753508297,4.260127753508297,0.0159,0.4143341883492858,138.85655246400717,58.68748187152008,4252.238879868777,5303.251900829184,0.0027386006065744,0.2095616004491396,5.659644437790932,0.5511167317314852,1.2963309390168496,4.20677807956263,4.20677807956263,0.0175,0.4070552604192739,149.24807026559924,62.05202327227396,5043.860169241497,6482.489397735103,0.0029431247390328,0.2080765812331045,4.577094212536755,0.642391265105194,1.624200230891351,4.161387906937981,4.161387906937981
0.0012,0.4935220146961677,12.701624742218774,0.0027005375557406,33.955670799731024,41.718796394962354,1.5071484321116176e-05,8.925442980626504e-05,-0.0031080630498875,0.0011337237084159,0.0552488294247679,2.767980241286719,2.767980241286719,0.026,0.3643249706805708,194.8827220246365,283.9111370101186,8584.650528985514,11358.404513148793,0.0062767234623658,0.6969355709556004,83.55073490615729,1.9524607274968069,1.1217588841324402,3.935037522353879,3.935037522353879,0.0289,0.3498354349628111,207.91180630400527,373.9436228902793,9712.337864389614,12981.752812170813,0.0073833525114456,0.8751975644186021,126.54592787185192,2.4295436782799387,1.403504990297218,3.835111878788645,3.835111878788645,0.0364,0.316314961860797,235.46071026312637,569.1290638181324,13535.71842741994,19067.840471509742,0.0096215823862976,1.197989729710884,264.9638280108199,3.8380764604690336,2.1519102380501978,3.665348831716644,3.665348831716644
0.0018,0.490369283475945,18.739708408996417,0.012363093962266,73.96891166625292,90.94903859490611,3.331267841807648e-05,0.0002856712191935,-0.0091648553262629,0.0026841144262441,0.0616612331145619,2.7493947492443342,2.7493947492443342,0.0372,0.3150205016304498,236.45900886777437,753.3535178243787,12819.928047674412,18327.402496417417,0.0099850058017735,1.4166668755653131,317.17013270732434,4.279475471521086,1.108168090980962,3.708558434586125,3.708558434586125,0.0444,0.2866832073658332,254.13652004376453,1130.3364610448582,14933.08655383194,22129.58391307329,0.0118886301044803,1.8838996082373511,549.5369975940849,5.797719293341912,1.548695805682495,3.5633670475392445,3.5633670475392445,0.0647,0.2198262316814489,277.48875715924174,2209.734750938648,21493.332246936512,36087.05856789448,0.0149219653402138,2.787788236189407,1376.6097924016806,10.31307942965332,2.8854039910380096,3.2673098145905155,3.2673098145905155
0.0025,0.4868273108752622,25.41451363777322,0.0414918188310489,136.1694929282598,167.57816676435164,6.232369657609255e-05,0.0007203886091951,-0.0209145821635589,0.0054061005020554,0.0687580915316204,2.728959502752605,2.728959502752605,0.049,0.2724851958610697,262.345899706048,1496.4666796237864,16185.771799882548,25124.862706384105,0.0126187767926687,2.187245837179503,739.6672608954019,6.940307597013805,1.1097389490338243,3.5429941899841566,3.5429941899841566,0.0627,0.2316524999468568,277.34252292797174,2477.4192745459845,18831.34318387654,31277.86518379383,0.0142872493650913,2.9224368334276467,1376.9025129423842,9.507127201081373,1.7327667997717733,3.3571049332013465,3.3571049332013465,0.1073,0.1454901991984979,265.4692834381832,5558.1175721727,25727.79856532107,50667.61043184765,0.014325781148461,4.053446562358056,3468.8820742614603,14.76606497081626,3.9967924916612527,3.008761880390876,3.008761880390876
0.0032,0.4828488915813684,32.77592235846618,0.1151829649209611,226.7219846319417,279.31481070640166,0.0001056537131435,0.0015732730093696,-0.0399628256790654,0.0098972382671076,0.0765988535062231,2.706544366192953,2.706544366192953,0.0614,0.2370491442117987,276.25420248272184,2449.277832113089,18668.487355984085,31312.150658589544,0.014031445179037,2.8645276168945326,1315.4278995479012,9.401034625922824,1.1204435619882795,3.412634070136638,3.412634070136638,0.0844,0.1871807939127559,281.307547236652,4313.56431514121,21346.58069212909,39258.88405252025,0.0145908212998363,3.7242143897510553,2527.2798899292934,12.374149515400488,1.9687633202379984,3.2118012902593023,3.2118012902593023,0.1714,0.0953567801234646,217.204076137329,10001.492312974378,27329.56218997021,58379.05024988333,0.011261482441988,4.620802390621249,5935.32701995655,15.169234166081717,5.838533546608174,2.921948286123592,2.921948286123592
0.004,0.4783814728623112,40.87282045860273,0.2812679145025272,353.02710366486355,435.4745243343553,0.0001678469457824,0.0031210934289686,-0.066042228374422,0.0170328953917951,0.0852452655835233,2.682024566338876,2.682024566338876,0.0743,0.2079330976115385,281.40662505368607,3561.5867218106487,20445.651138915164,36686.05050729052,0.0145084160786602,3.412987465658797,1999.128422680656,11.389786728068218,1.141370361394763,3.316472901309457,3.316472901309457,0.1103,0.1521801943274294,270.74215803147166,6507.948026099304,22829.500787294008,45430.53920832135,0.0136798281799017,4.271278821148723,3895.361530803886,14.005618272295155,2.2871030997793027,3.1417473826359115,3.1417473826359115,0.2678,0.0574290144101663,149.1440441339983,15075.357608431706,27806.271595223283,60684.26647106839,0.0084901403337275,4.995173426064094,9008.79493303185,13.868096767869735,8.6960352944066,2.893227386365886,2.893227386365886
0.005,0.4733667506945236,49.75132343468655,0.6262437778994795,523.8463647802762,647.1828202730832,0.0002546862069466,0.0057815014247186,-0.0943244305317021,0.0280525035870514,0.0947608156169302,2.6552823997647037,2.6552823997647037,0.0879,0.1839970361579841,280.28617779754234,4761.898256116808,21704.967259190344,41192.01441727163,0.0143888671131457,3.83283815192006,2743.0609322741843,12.85109743155068,1.1734203227842106,3.252771779185604,3.252771779185604,0.141,0.1243282791701969,249.757635363168,8856.57173498759,23644.92114555833,49656.718486882215,0.0122935597536648,4.619226490420804,5376.115194545309,14.570053494081906,2.707098940682671,3.1312663366782294,3.1312663366782294,0.4129,0.0199328468158304,55.42917709571282,17187.58752394644,29099.38306511788,61106.88416299777,0.0066899613831635,5.093319110699759,11382.984967430182,12.407706167038263,12.963944612402704,2.867417745428992,2.867417745428992
0.006,0.46774036466727,59.452456067409415,1.3001740330468126,749.384353291387,927.5527966411702,0.000373474974249,0.0101729961295089,-0.1100500776101618,0.0447343816191402,0.1052100968048401,2.626211293237823,2.626211293237823,0.1022,0.1641349176862877,274.7041456304691,6004.598616744773,22597.408222981343,44865.65390514529,0.0139321058727521,4.149521483088747,3517.4668013122737,13.83781662125919,1.2168262048332157,3.2179453716247064,3.2179453716247064,0.1774,0.1012837328927101,221.5020479915028,11214.960410537547,24145.42489603122,52227.837407111285,0.0108466860791152,4.831679075655122,6902.040152044958,14.430259025576673,3.235362271853897,3.1511505864165947,3.1511505864165947,,,,,,,,,,,,,
0.0072,0.4614317720858321,70.0091795555736,2.55472017970409,1041.2942325012427,1291.808651125619,0.0005333443206539,0.017195948618604,-0.0793568719028781,0.069581793794415,0.1166582156242488,2.594723750517095,2.594723750517095,0.1171,0.1474169734413452,265.957705582555,7247.767506874424,23232.701427593445,47788.37006318563,0.0133070126017636,4.38608846906588,4300.069133760394,14.43960886385778,1.2705286999711958,3.2054183487228345,3.2054183487228345,0.2207,0.0811319768147222,188.07698190766712,13518.653808915604,24653.67012128268,53592.44995878438,0.0095316731874366,4.959262750466602,8400.183579538745,13.923655696594702,3.871451019807568,3.175048550732197,3.175048550732197,,,,,,,,,,,,,
